gender_num,ssc_p,hsc_p,degree_p,workex_num,etest_p,mba_p,degree_t_num,specialisation_num,status_num
0,76.76672583216147,60.88371307132815,67.87767756609406,1,57.95839390285086,61.27853701437048,1,1,0
0,78.77499208300061,63.564699114077634,64.54478246800635,0,74.32496941231388,71.99536958416908,0,0,0
0,60.6637428740277,68.71740712781121,66.0363696515313,0,71.29080914900564,58.59613746123836,1,1,0
1,62.16371613556152,46.5990204117255,49.9417186461872,0,75.46024867273856,54.22194767354764,1,0,0
1,61.09087344167403,49.635342156705946,54.521143520447026,0,71.76916295333912,66.0427965272615,0,1,0
1,74.19719861271739,70.33676698223748,71.18608776137319,0,94.64731915500337,66.57589274890798,1,1,1
1,62.85490975080377,46.03514375240034,54.25030421600197,0,56.17924140547843,56.57006459575213,1,1,0
1,61.73049526402477,64.66964158742715,66.15839367717803,0,50.28173227039898,56.21938575948319,1,0,1
0,77.43719756727474,60.719775864849645,67.94113197111129,1,57.535171651963886,60.86233198678349,1,1,0
0,64.12095292802148,67.59345649083234,69.69119271818744,1,55.30259301672274,71.2121098333167,0,0,0
1,80.05987645099856,82.07206691743352,77.29779026100542,0,92.26113138112743,75.47527687673586,1,1,1
1,62.7022876864054,57.51003817530417,52.81282078389343,0,88.62356433753729,60.177244992986466,1,0,0
1,56.84945775285073,64.09733703934003,70.49532073967107,0,84.42514517475843,67.35629155864926,1,1,1
1,70.00911719255467,62.90634434210082,65.6039585619816,0,60.73712018462997,60.967656368260556,0,0,1
1,59.269650023694304,50.70851604918392,60.04821572603419,0,75.31327267151815,59.43907520410495,2,0,0
1,68.02204532073459,73.49906268531436,66.21717107004223,1,95.81444486317471,71.19361578682052,1,1,1
1,54.192072234383595,82.09009165283835,63.13950490293191,0,50.34232045464141,59.50987146608407,0,1,0
1,73.31974431789976,77.43486557950521,73.12662396688708,1,85.93117020785606,66.13822703543208,0,0,1
1,65.32650630034426,65.58257112837852,75.23876406761183,0,83.0421587876078,58.951942086732835,1,1,1
1,61.96079263082213,65.42752605745497,59.98034770723193,0,83.24427965279162,64.10909940412621,1,1,0
1,43.466585865699074,58.37295086088773,55.252975538343684,1,64.21563497780119,58.85087064583271,1,0,0
0,40.976382304864956,46.767634891338126,51.783602656955196,0,71.87869751260043,65.97634416361069,1,0,0
1,78.71594945046769,79.11200388195475,77.87053413692435,1,87.05695093562643,66.59989587108832,0,1,1
1,59.25541722154659,50.8933679016319,59.91150935043395,0,76.24905421773543,59.62729923130786,2,0,0
1,66.61497224111237,61.69171149812493,59.58565435397408,0,93.65698462863872,55.07075693224328,1,1,1
0,78.7568025054315,75.88700224622326,65.91555271062381,0,57.48870125798168,55.22248869360168,0,0,0
1,76.45160971239797,90.25907023756653,65.09483145744068,1,89.85404294459708,68.4126383285613,1,1,1
1,66.93114276773147,60.19123929266868,70.80253826937889,0,73.06189675656942,61.21017329584906,1,1,1
1,78.97069523702338,65.71042237658445,67.3628772590001,1,95.27494546886393,65.29461108020486,0,1,1
1,61.781661113562635,64.95806345526691,66.27638713223776,0,49.62797574960357,57.166402935330694,1,0,1
1,86.33621019315265,73.92085743711169,65.55860536454747,1,75.2689367717087,71.70096130628845,0,0,1
1,55.598895219110126,61.58371477456521,56.8880516389732,0,65.80786407955502,58.09254912157342,1,0,1
1,68.35419123393365,75.71383430754514,74.8374717073958,0,79.8084628482974,63.29408255966364,1,1,1
0,78.7799452450899,76.5138725523485,84.8036872728822,0,94.98199071442903,69.44782068235098,1,1,0
0,66.29512191237849,61.41944269159907,72.80720608660371,0,58.508606197250344,63.914667064117914,1,0,0
1,63.054514146716734,61.720026328436376,67.71408610997469,0,64.27849754435078,62.61972448164546,1,1,1
1,73.15267910087229,61.53547535238151,68.77931347232756,0,74.41080753547631,58.30587843761763,1,1,1
1,59.73497342672538,41.7909306125278,61.11957149838657,0,54.979168215243924,65.67496611336702,0,0,0
1,79.30515133068026,65.12409864476328,66.62377378678107,1,95.26687641440256,65.13013458767674,0,1,1
1,82.53500328032266,78.33501150282737,60.574772722230136,1,88.44297149809718,71.73880334376237,1,1,1
1,61.343944637458236,47.94796834828831,49.99039211706049,0,76.87117454987188,55.86805350557566,1,0,0
0,53.44012267673719,77.46965402424884,69.69386362319172,0,95.42336274506974,67.15889774463123,1,1,0
0,53.91563281297026,78.04006319421151,68.82366662795543,0,96.16373611923689,66.58231830287886,1,1,0
1,73.6999112196198,50.8787037695372,64.06938986052144,1,63.89622371949839,66.45479098111093,0,1,1
0,53.681908663109525,76.8438410175161,69.98843433298075,0,95.33165409092767,66.59265420178924,1,1,0
0,74.66557274320573,74.0573027002325,68.85791487505617,0,66.43678183675924,63.29640049450834,1,0,0
1,81.93234587340585,89.3559270388534,82.13036935461574,0,80.61170791832735,73.68095856181708,1,0,1
0,74.1964412625337,59.669181558236374,68.61985135240556,0,77.43797996461495,65.97318276639903,1,0,0
1,60.6094860074666,69.09803943871758,64.76577763182195,0,67.89140633970283,60.37221722018346,1,0,0
1,62.41431264270413,64.73303763222629,59.761252940208145,0,83.84056476554676,64.12339075169848,1,1,0
0,74.61661899118447,73.05158427322326,68.61955335106126,0,64.91925756159029,63.81910268772898,1,0,0
0,77.67309829382245,92.18396926124068,71.78305047272433,1,93.69308644170002,67.2287917392056,1,1,0
1,61.247924479113614,64.43574360651395,65.56223175692732,0,49.370101423295644,57.092340213566814,1,0,1
1,84.93107789764228,67.17210433270728,79.11392892734536,0,94.89207833129193,68.29115909294117,1,1,1
1,62.48514528969116,61.90415805283896,59.638518597935786,1,62.62006782835,52.39602679779142,1,0,1
0,54.49443652121367,66.84672554030362,64.13358005750464,0,60.77991345446266,66.96871638637083,1,1,0
0,74.84349064663067,56.49345306692308,62.01963754378784,1,80.34668870171134,60.16812042319795,2,1,0
0,65.72380590840439,61.273522189592015,73.70050827128894,0,57.67439881200505,64.2438979707418,1,0,0
1,52.54074803385125,65.87401663708398,71.17646265087392,0,57.504886434210036,57.06319837537984,0,1,1
0,77.04584485997535,86.28901866247033,59.02700200248556,0,67.70850364440946,68.68345033210693,1,1,0
1,73.21941585055289,80.47513682736849,71.7624464793778,0,91.00720523366101,60.67741861184348,1,1,1
0,84.72888240248672,75.61894852890336,68.98180483885619,1,61.556352465005546,62.691072819274254,0,0,0
0,41.39609070169996,45.336566610572426,53.19404221596609,0,71.75822256701765,65.87490147943582,1,0,0
1,75.75464987451863,89.35599964228021,66.43149442650933,1,89.25013087105644,68.59846388648779,1,1,1
